96,PCV Valve,Manages crankcase pressure to prevent oil leaks and emissions.,20,60,5
97,Turbocharger / Supercharger,Forced induction systems that increase engine power by compressing air entering the engine.,400,"1,500",5
98,Air Filter / Air Intake Housing / Manifold,"Filters air before it enters the engine, and the intake manifold distributes air evenly.",20,150,5
99,Throttle Body / Carburetor,Controls the amount of air and fuel entering the engine for combustion.,100,400,5
100,Glowplug,Aids in cold starting of diesel engines by preheating the combustion chamber.,10,30,5
101,Fuel Injector / Fuel Rail / Fuel Cell,"The injector delivers fuel to the engine, the fuel rail supplies it, and the fuel cell stores it.",100,500,5
102,A/C Compressor,Compresses refrigerant and circulates it through the A/C system.,150,500,6
103,A/C Condenser,"Releases heat from the refrigerant, turning it from a gas back to a liquid.",80,250,6
104,A/C Evaporator,Absorbs heat from the car's interior air to cool it down.,100,300,6
105,A/C Clutch,Engages and disengages the compressor based on demand for cooling.,50,200,6
106,A/C Relay,Acts as a switch to control the A/C compressor operation.,10,50,6
107,A/C Hoses,Carries refrigerant throughout the A/C system.,20,100,6
108,A/C Valves,Regulate refrigerant flow and pressure within the system.,30,120,6
109,A/C Cooler,Cools the air coming into the vehicle to maintain comfort.,80,250,6
110,A/C Expansion Valve,"Controls the flow of refrigerant into the evaporator, regulating cooling.",30,100,6
111,Heater,Heats the interior air using the engine’s cooling system.,80,300,6
112,Blower Motor,Moves air through the heater and A/C systems to circulate cool or warm air.,60,180,6
113,Rims,The metal structure that holds the tire in place and connects to the wheel.,100,800,7
114,Hubcap,A cover that hides the wheel lug nuts and enhances the appearance of the wheel.,20,100,7
115,Tire/Tyre,The rubber outer part of the wheel that contacts the road.,80,400,7
116,Wheel Stud,"A metal pin that sticks out from the wheel hub, allowing the wheel to be attached.",15,40,7
117,Wheel Cylinder,A component of the braking system that works with the brake shoes to stop the wheel.,30,100,7
118,Tire Pressure Gauge,Measures the air pressure in the tires to ensure proper inflation.,30,100,7
119,Brake Pad,A friction material that presses against the brake rotor to slow the vehicle.,30,100,8
120,Brake Disc (Rotor),"The flat, circular metal part that the brake pad presses against to stop the wheel.",50,200,8
121,Brake Drum,A cylindrical part that works with brake shoes in drum brake systems.,40,150,8
122,Brake Shoe,A curved component that presses against the brake drum to slow the wheel in drum brake systems.,20,50,8
123,Caliper,A clamp that holds the brake pads and presses them against the brake rotor.,60,250,8
124,Master Cylinder,A component that converts the force from the brake pedal into hydraulic pressure to activate the brakes.,60,200,8
125,Brake Booster,A vacuum or hydraulic-powered component that amplifies the force applied to the brake pedal.,80,300,8
126,Brake Servo,A part that assists in braking by using vacuum pressure to reduce pedal force.,80,300,8
127,Parking Brake Lever (Hand Brake),"A lever used to apply the parking brake, typically used to prevent the car from rolling when parked.",40,150,8
128,Brake Lines/Hoses,Pipes or rubber hoses that carry brake fluid from the master cylinder to the brake components.,20,100,8
129,Brake Valves,Control the distribution of brake fluid and pressure to various parts of the braking system.,30,120,8
130,ABS System,"Anti-lock Braking System, helps maintain steering control during hard braking.",300,800,8
131,Brake Sensors,"Monitors the status of the braking system, such as brake pad wear or hydraulic pressure.",40,150,8
132,Proportioning Valve,Regulates brake fluid pressure to maintain an even distribution of braking force.,40,120,8
133,Metering Valve,Controls the timing and pressure in hydraulic brake systems.,40,120,8
134,Brake Light,"Indicates when the brakes are applied, usually seen on the rear of the car.",15,40,8
135,Brake Warning Indicator,A light or symbol that alerts the driver to issues with the braking system.,5,50,8
136,Control Arm,A suspension component that connects the wheel assembly to the vehicle's frame and allows controlled movement.,80,250,9
137,Shock Absorber,Dampens the impact and rebound from the road to improve ride comfort and handling.,60,250,9
138,Struts,"A suspension component that integrates a shock absorber with other suspension parts, such as the spring.",80,300,9
139,Coil/Leaf/Air Springs,Types of suspension springs that absorb shocks and maintain vehicle height.,80,300,9
140,Stabilizer Bars (Anti-roll Bars),Reduces body roll during cornering by linking opposite suspension components.,40,150,9
141,Tie Rod,"Connects the steering gear to the wheels, helping steer the vehicle.",40,120,9
142,Tie Bar,A suspension component that stabilizes or strengthens the vehicle’s suspension system.,50,150,9
143,Pitman Arm,Part of the steering mechanism that connects the steering gear to the steering linkage.,40,120,9
144,Idler Arm,A component of the steering system that supports the steering linkage.,40,120,9
145,Steering Rack,A part of the steering system that converts the rotational movement of the steering wheel into lateral movement of the wheels.,200,600,9
146,Steering Box,A device that connects the steering wheel to the steering mechanism.,150,500,9
147,Steering Wheel,The wheel the driver uses to control the vehicle’s direction.,100,400,9
148,Steering Column Assembly,The central shaft that connects the steering wheel to the rest of the steering mechanism.,200,600,9
149,Rack End,The end of the steering rack that connects to the steering arm or link.,30,100,9
150,Ball Joint,A pivot point in the suspension system that allows for smooth movement between the wheel assembly and the vehicle frame.,30,100,9
151,Bushings,Rubber components that reduce friction and wear in suspension joints.,20,100,9
152,Spindles,The components that connect the wheels to the suspension and allow them to rotate.,60,250,9
153,Kingpin,The pivot point that allows the wheels to steer.,40,120,9
154,Clutch Assembly,A system that engages and disengages the engine’s power from the drivetrain.,150,500,10
155,Clutch Pedal,The pedal used by the driver to engage or disengage the clutch.,40,100,10
156,Clutch Cable,A cable that connects the clutch pedal to the clutch mechanism.,20,60,10
157,Clutch Disk,The friction plate that connects to the engine flywheel and allows the car to engage or disengage power from the engine.,60,200,10
158,Flywheel,A heavy rotating disk attached to the engine that helps maintain smooth engine operation.,100,400,10
159,Gearbox,"A system of gears that controls the power transfer from the engine to the wheels, allowing the vehicle to change speeds.",500,"1,500",10
160,Differential,"A mechanical component that allows the wheels to rotate at different speeds, especially during turns.",400,"1,200",10
161,Shift Lever,The lever used by the driver to select the appropriate gear in a manual transmission vehicle.,50,150,10
162,Gear Stick,"Another term for the shift lever, used to change gears.",20,150,10
163,Gear Knob,The top part of the gear stick that the driver grips to change gears.,20,80,10
164,Driveshaft,"A shaft that transmits power from the engine to the wheels, especially in rear-wheel or all-wheel-drive vehicles.",150,500,10
165,Prop Shaft,A type of driveshaft used to transfer power from the engine to the differential.,100,400,10
166,U-Joint (Universal Joint),A flexible joint that connects driveshafts and allows them to move at different angles.,50,150,10
167,Torque Converter,A device that transfers and multiplies engine torque to the transmission in automatic vehicles.,200,800,10
168,Transmission Pan,A metal pan that covers the bottom of the transmission to hold the transmission fluid.,60,150,10
169,Axle Shaft,"A shaft that connects the wheel hub to the differential, allowing the wheels to rotate.",100,400,10
170,Output Shaft,A shaft that transmits rotational power from the transmission to the drivetrain.,100,400,10
171,Gear Set,A collection of gears that work together to control the vehicle's speed and torque.,200,800,10
172,Fuel Pump,Pumps fuel from the tank to the engine.,100,400,11
173,Fuel Filter,Filters contaminants out of the fuel before it reaches the engine.,20,40,11
174,Fuel Cap,A cover that seals the fuel tank to prevent fuel evaporation and contamination.,20,50,11
175,Fuel Tank,A container that holds the vehicle's fuel.,200,700,11
176,Fuel Cooler,Cools the fuel to maintain optimal temperature for efficient engine operation.,100,250,11
177,Fuel Rail,A component that delivers fuel to the injectors for each cylinder in the engine.,80,300,11
178,Fuel Water Separator,"A filter that separates water from the fuel, preventing damage to the engine.",50,200,11
179,Fuel Injector,A nozzle that sprays fuel directly into the combustion chamber for precise fuel delivery.,100,400,11
180,Fuel Lines,Tubes that carry fuel from the tank to the engine.,30,150,11
181,Vapor Hose,A hose that carries fuel vapors to be recirculated into the engine to prevent fuel loss.,20,80,11
182,Fuel Pressure Regulator,Maintains consistent fuel pressure for proper engine performance.,60,200,11
183,Radiator,A component that helps cool the engine by dissipating heat from the engine coolant.,50,400,12
184,Radiator Cap,A cap that seals the radiator and maintains the pressure inside the cooling system.,10,40,12
185,Overflow Tank,"A container that stores excess coolant when it expands due to heat, preventing overflow.",20,80,12
186,Water Neck,"A metal fitting that connects the radiator to the engine's cooling system, allowing coolant to flow between them.",30,100,12
187,Water Pipe,Tubes or pipes that carry coolant between the engine and radiator.,20,100,12
188,Water Pump,A pump that circulates coolant through the engine and radiator to regulate temperature.,20,200,12
189,Cooling Fan,A fan that helps cool the radiator and engine by pulling air through the radiator.,60,200,12
190,Fan Clutch,"A device that regulates the fan's speed, typically by engaging it when the engine temperature rises.",50,150,12
191,Fan Blades,The blades that spin to move air through the radiator to cool the engine.,20,100,12
192,Hoses,Flexible tubes that carry coolant throughout the engine and cooling system.,10,100,12
193,Gaskets,"Seals that prevent coolant leaks between engine parts, like the radiator and engine block.",10,80,12
194,Muffler (Silencer),A component that reduces noise produced by the exhaust gases as they exit the engine.,80,300,13
195,Resonator,"A device that reduces sound and helps fine-tune the exhaust note, usually placed before the muffler.",60,200,13
196,Heat Shield,A shield that protects other parts of the vehicle from the heat generated by the exhaust system.,30,100,13
197,Exhaust Manifold,The part that collects exhaust gases from multiple cylinders and directs them into the exhaust pipe.,100,400,13
198,Exhaust Pipe,A pipe that directs exhaust gases away from the engine and out of the vehicle.,60,250,13
199,Exhaust Gaskets,"Seals used to prevent exhaust leaks between parts of the exhaust system, such as between the manifold and the cylinder head.",10,50,13
200,Exhaust Clamps,"Components used to connect exhaust system parts, such as pipes and mufflers, to prevent leaks.",5,25,13
201,Catalytic Converter,A device that reduces harmful emissions by converting them into less harmful substances like water and carbon dioxide.,300,"1,200",13
202,EGR Valve (Exhaust Gas Recirculation Valve),A component that recirculates some of the exhaust gases back into the engine to reduce nitrogen oxide emissions.,100,300,13
203,"Gaskets (Flat, Moulded, O-rings)","Seals that prevent leaks of fluids or gases between two surfaces. Flat and moulded gaskets have specific shapes, while O-rings are circular seals that create pressure-resistant seals in joints.",30,300,14
204,Decals,Stickers or labels that are applied to the exterior of a vehicle for identification or aesthetic purposes.,10,50,14
205,Labels,"Printed tags that provide information about a part or the vehicle, such as warnings or part specifications.",10,50,14
206,Name Plates,Plates that identify the make or model of a vehicle or its components.,10,50,14
207,Paint,A coating applied to the surface of a vehicle or part for protection and aesthetic purposes.,20,100,14
208,Adhesive Tape,"A sticky tape used for various purposes, such as securing parts or sealing gaps.",1,10,14
209,Foil,"Thin sheets of metal (often aluminum) used for various purposes, including insulation or sealing.",10,50,14
210,Rubber Components,"Parts made from rubber, often used for seals, mounts, and insulation.",10,80,14
211,Molded Parts,Components formed by shaping plastic or rubber materials into specific shapes through molding processes.,20,100,14
212,Horn,A device that produces a loud sound to alert other drivers or pedestrians.,30,100,14
213,Trumpet Horn,"A type of horn that has a distinctive, louder, and more musical tone, often used in vehicles for signaling.",30,100,14
214,Shim,A thin piece of material used to adjust the fit of parts or align them properly.,5,25,14
215,Cotter Pin,"A type of fastener used to secure a pin or bolt in place, often used in automotive applications to prevent parts from loosening.",1,10,14
216,Brackets,"Metal or plastic supports that hold components in place, often used to attach parts to the vehicle frame.",10,60,14
217,Minor Dents,Small dents that don’t involve paint damage; fixed without repainting using specialized tools.,50,250,15
218,Major Dents,Larger dents that damage the paint or require body filler to smooth out the surface before repainting.,200,1500,15
219,Minor Scratches,"Small, shallow scratches on the paintwork that can be buffed out or touched up with paint.",50,400,15
220,Major Scratches,Deeper scratches that have penetrated the paint and may require sanding down the damaged area and repainting.,150,1000,15
221,Bumper Scratch,"Scratches or small dents on the bumper, which may involve sanding, filling, and repainting.",150,800,15
222,Full Repainting,"Repainting a whole panel (like a door, fender, or quarter panel) to match the vehicle’s original color, including primer, base coat, and clear coat.",250,2000,15
223,Full Car Respray,"Repainting the entire car, which may involve disassembling parts like trim and bumpers. This is for cosmetic overhauls and color changes.",1500,10000,15
224,Clear Coat Repair,Restoring or reapplying clear coat that has worn out or been damaged by UV rays and weathering.,100,700,15
225,Wheel Repair,"Minor cosmetic repair to alloy or chrome wheels, such as curb rash, scratches, or chips, followed by repainting or polishing.",50,300,15
226,Headlight Restoration,"Buffing and polishing to remove fogging, yellowing, or oxidation from the headlights.",50,250,15
227,Rust Removal and Treatment,"Removing surface rust and treating the area to prevent further damage, usually with sanding and priming before repainting.",100,1200,15
228,Vinyl Wrap,A vinyl film is applied to parts or the entire vehicle to change the appearance (as a non-permanent alternative to painting).,1000,5000,15
